inventory_id,product_id,product_name,category,brand,supplier_id,stock_qty,reorder_point,max_stock,needs_reorder,unit_cost,unit_price,gross_margin,margin_pct,units_sold_ytd,last_received,shelf_location,status,warranty
INV0001,PRD001,Kingston A400 240GB,Storage,Kingston,SUP001,132,24,228,0,13.5,29.99,16.49,55.0,204,2022-11-16,Rack-E1,active,3 years
INV0002,PRD002,Kingston A400 480GB,Storage,Kingston,SUP999,-6,8,249,0,22.0,49.99,27.99,56.0,134,2023-04-28,Rack-A1,active,3 years
INV0003,PRD003,Kingston A400 960GB,Storage,Kingston,SUP001,86,18,166,0,39.0,89.99,50.99,56.7,171,2022-07-25,,active,3 years
INV0004,PRD004,Samsung 870 EVO 500GB,Storage,Samsung,SUP002,52,22,287,0,35.0,79.99,44.99,56.2,31,2022-12-04,Rack-B8,active,5 years
INV0005,PRD005,Samsung 870 EVO 1TB,Storage,Samsung,SUP002,18,23,256,1,57.0,129.99,72.99,56.2,18,2023-12-21,Rack-C2,active,5 years
INV0006,PRD006,Samsung 970 EVO 500GB,Storage,Samsung,SUP002,106,24,289,0,30.0,69.99,39.99,57.1,41,2023-09-20,Rack-E8,active,5 years
INV0007,PRD007,Samsung 970 EVO 1TB,Storage,Samsung,SUP002,33,13,285,0,52.0,119.99,67.99,56.7,53,2022-02-12,Rack-A8,active,5 years
INV0008,PRD008,Samsung 970 EVO 2TB,Storage,Samsung,SUP002,129,12,266,0,96.0,219.99,123.99,56.4,220,2022-12-25,Rack-D5,active,5 years
INV0009,PRD009,WD Black SN850 1TB,Storage,WD,SUP013,200,12,105,0,48.0,109.99,61.99,56.4,13,2022-02-26,Rack-B9,active,5 years
INV0010,PRD010,Seagate Barracuda 2TB,Storage,Seagate,SUP014,155,17,274,0,24.0,54.99,30.99,56.4,9,2023-12-02,,active,2 years
INV0011,PRD011,Corsair Vengeance 8GB DDR4,Memory,Corsair,SUP003,13,17,296,1,13.0,29.99,16.99,56.7,64,2023-01-22,Rack-D12,active,Lifetime
INV0012,PRD012,Corsair Vengeance 16GB DDR4,Memory,Corsair,SUP003,109,22,135,0,26.0,59.99,33.99,56.7,224,2022-04-29,Rack-A15,active,Lifetime
INV0013,PRD013,Corsair Vengeance 32GB DDR4,Memory,Corsair,SUP003,157,16,190,0,48.0,109.99,61.99,56.4,175,2022-07-18,Rack-D15,active,Lifetime
INV0014,PRD014,G.Skill Trident Z5 16GB DDR5,Memory,G.Skill,SUP004,14,12,159,0,35.0,79.99,44.99,56.2,5,2022-04-05,Rack-B7,active,Lifetime
INV0015,PRD015,G.Skill Trident Z5 32GB DDR5,Memory,G.Skill,SUP004,191,22,245,0,65.0,149.99,84.99,56.7,7,2022-02-16,Rack-B14,active,Lifetime
INV0016,PRD016,G.Skill Trident Z5 64GB DDR5,Memory,G.Skill,SUP004,14,7,114,0,126.0,289.99,163.99,56.6,224,2022-05-10,Rack-B5,active,Lifetime
INV0017,PRD017,Kingston Fury Beast 16GB DDR4,Memory,Kingston,SUP001,11,15,189,1,24.0,54.99,30.99,56.4,125,2023-09-09,Rack-C3,active,Lifetime
INV0018,PRD018,ASUS ROG Strix B550-F,Motherboard,ASUS,SUP005,155,17,222,0,96.0,219.99,123.99,56.4,62,2023-11-05,Rack-A2,active,3 years
INV0019,PRD019,ASUS ROG Strix Z690-A,Motherboard,ASUS,SUP005,64,22,152,0,339.99,319.99,179.99,56.2,182,2023-05-22,,active,3 years
INV0020,PRD020,MSI MAG B550M MORTAR,Motherboard,MSI,SUP006,182,14,193,0,57.0,129.99,72.99,56.2,282,2024-03-09,Rack-C14,active,3 years
INV0021,PRD021,MSI PRO Z690-A,Motherboard,MSI,SUP006,-7,12,234,0,83.0,189.99,106.99,56.3,163,2022-10-01,Rack-E9,active,3 years
INV0022,PRD022,Gigabyte B550 AORUS Elite,Motherboard,Gigabyte,SUP007,26,6,188,0,74.0,169.99,95.99,56.5,248,2023-02-25,Rack-C2,active,3 years
INV0023,PRD023,Gigabyte Z790 AORUS Master,Motherboard,Gigabyte,SUP007,52,9,233,0,196.0,449.99,253.99,56.4,156,2022-08-25,Rack-E4,active,3 years
INV0024,PRD024,Intel Core i3-12100,Processor,Intel,SUP008,-11,16,285,0,168.99,119.99,67.99,56.7,72,2024-04-15,,active,3 years
INV0025,PRD025,Intel Core i5-12400,Processor,Intel,SUP008,178,19,266,0,87.0,199.99,112.99,56.5,232,2024-02-22,Rack-A1,active,3 years
INV0026,PRD026,Intel Core i7-12700K,Processor,Intel,SUP008,127,6,169,0,161.0,369.99,208.99,56.5,196,2022-10-12,Rack-C14,active,3 years
INV0027,PRD027,Intel Core i9-12900K,Processor,Intel,SUP008,21,6,171,0,248.0,569.99,321.99,56.5,196,2024-05-25,Rack-D1,active,3 years
INV0028,PRD028,AMD Ryzen 5 5600X,Processor,AMD,SUP009,97,17,213,0,100.0,229.99,129.99,56.5,114,2022-02-15,Rack-B7,active,3 years
INV0029,PRD029,AMD Ryzen 7 5800X3D,Processor,AMD,SUP009,47,18,236,0,152.0,349.99,197.99,56.6,156,2022-02-23,Rack-A9,active,3 years
INV0030,PRD030,AMD Ryzen 9 5900X,Processor,AMD,SUP009,195,16,106,0,196.0,449.99,253.99,56.4,172,2023-09-16,Rack-C13,active,3 years
INV0031,PRD031,AMD Ryzen 9 7900X,Processor,AMD,SUP009,192,23,155,0,560.99,549.99,310.99,56.5,14,2024-02-15,Rack-C12,active,3 years
INV0032,PRD032,NVIDIA RTX 3060 12GB,GPU,NVIDIA,SUP010,159,18,209,0,144.0,329.99,185.99,56.4,29,2024-03-12,Rack-A9,active,3 years
INV0033,PRD033,NVIDIA RTX 3070 8GB,GPU,NVIDIA,SUP010,99,14,236,0,218.0,499.99,281.99,56.4,217,2023-04-20,Rack-E12,active,3 years
INV0034,PRD034,NVIDIA RTX 3080 10GB,GPU,NVIDIA,SUP010,145,21,166,0,305.0,699.99,394.99,56.4,195,2022-06-16,Rack-D12,active,3 years
INV0035,PRD035,NVIDIA RTX 4070 12GB,GPU,NVIDIA,SUP010,60,9,103,0,261.0,599.99,338.99,56.5,140,2022-10-15,Rack-A4,active,3 years
INV0036,PRD036,NVIDIA RTX 4080 16GB,GPU,NVIDIA,SUP010,197,22,175,0,523.0,1199.99,676.99,56.4,292,2022-12-12,Rack-D1,active,3 years
INV0037,PRD037,AMD RX 6600 8GB,GPU,AMD,SUP009,157,13,192,0,126.0,289.99,163.99,56.6,128,2022-10-03,Rack-E1,active,3 years
INV0038,PRD038,AMD RX 6700 XT 12GB,GPU,AMD,SUP999,31,14,245,0,174.0,399.99,225.99,56.5,164,2023-11-08,Rack-C14,active,3 years
INV0039,PRD039,AMD RX 7900 XTX 24GB,GPU,AMD,SUP009,-15,19,218,0,435.0,999.99,564.99,56.5,225,2022-01-18,Rack-A8,active,3 years
INV0040,PRD040,Corsair RM650 Modular,PSU,Corsair,SUP003,9,16,222,1,39.0,89.99,50.99,56.7,284,2023-10-16,Rack-B7,active,10 years
INV0041,PRD041,Corsair RM750 Modular,PSU,Corsair,SUP003,14,23,120,1,48.0,109.99,61.99,56.4,282,2022-10-11,Rack-C2,active,10 years
INV0042,PRD042,Corsair RM850 Modular,PSU,Corsair,SUP003,112,10,166,0,61.0,139.99,78.99,56.4,141,2024-02-24,Rack-C14,active,10 years
INV0043,PRD043,EVGA SuperNOVA 650W,PSU,EVGA,SUP011,126,9,158,0,39.0,89.99,50.99,56.7,89,2023-10-08,Rack-B14,active,10 years
INV0044,PRD044,be quiet! Straight Power 850W,PSU,be quiet!,SUP015,158,25,112,0,74.0,169.99,95.99,56.5,58,2022-08-27,Rack-A3,active,5 years
INV0045,PRD045,Noctua NH-D15,Cooler,Noctua,SUP012,175,21,212,0,43.0,99.99,56.99,57.0,162,2023-08-17,Rack-A9,active,6 years
INV0046,PRD046,Noctua NH-U12S,Cooler,Noctua,SUP012,183,12,115,0,30.0,69.99,39.99,57.1,132,2024-01-02,Rack-C1,active,6 years
INV0047,PRD047,Corsair H100i RGB 240mm,Cooler,Corsair,SUP003,173,16,238,0,57.0,129.99,72.99,56.2,22,2024-01-06,Rack-E4,active,5 years
INV0048,PRD048,Corsair H150i Elite 360mm,Cooler,Corsair,SUP003,89,8,119,0,74.0,169.99,95.99,56.5,227,2023-06-04,Rack-A9,active,5 years
INV0049,PRD049,NZXT Kraken X73 360mm,Cooler,NZXT,SUP016,19,12,152,0,83.0,189.99,106.99,56.3,292,2022-11-30,Rack-C14,active,6 years
INV0050,PRD050,DeepCool AK620,Cooler,DeepCool,SUP017,174,18,118,0,24.0,54.99,30.99,56.4,218,2023-10-20,Rack-C3,active,3 years
